features,model,r2_score,mae
"('work_year', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9932930178288725,1493.3818536543918
"('experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",ExtraTrees,0.9932921919125279,1110.6581490384608
"('experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9932480352212618,1037.2721955128209
"('employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",CatBoost,0.9932117775044111,1808.8404643918198
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.9932088254657386,1813.5201581618892
"('salary', 'salary_currency', 'company_location')",GradientBoosting,0.9931919829135019,1926.3653720994942
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",GradientBoosting,0.9931643132385372,1844.3365033128025
"('experience_level', 'salary', 'salary_currency')",CatBoost,0.9931581884487428,1666.7206981120532
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio')",GradientBoosting,0.9931561576734284,1963.1608962365258
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9931193302993222,1627.6725394961422
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.9931149129695628,1874.9535492548664
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio')",GradientBoosting,0.9931085586391455,1963.2652610481305
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_location')",CatBoost,0.9930984228270933,1799.7929575468293
"('experience_level', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio')",CatBoost,0.9930885989153853,1856.596820329301
"('employment_type', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio', 'company_size')",CatBoost,0.9930839058379828,1909.7955306760866
"('experience_level', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'company_size')",CatBoost,0.9930599379156192,2012.3258102963473
"('experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",CatBoost,0.9930481413207614,1759.4024915180353
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'company_location')",GradientBoosting,0.9930403132771395,1931.6658304735051
"('experience_level', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio')",CatBoost,0.9930381396021368,1939.8832660656142
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9930246278779389,1738.3866667230375
"('job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",GradientBoosting,0.9930203028261391,1955.2620649404234
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location')",GradientBoosting,0.9930178649346726,1933.5638848053572
"('job_title', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9930078861683533,1730.4178477901248
"('experience_level', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'company_location')",GradientBoosting,0.9930070877549619,2015.7630238630993
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio', 'company_location')",GradientBoosting,0.9930032361438661,1936.2810446715375
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_location')",GradientBoosting,0.9930016095567273,1879.9343839730454
"('work_year', 'job_title', 'salary', 'salary_currency', 'company_size')",CatBoost,0.9929998153936034,1413.5458985312625
"('work_year', 'experience_level', 'job_title', 'salary', 'salary_currency', 'company_location', 'company_size')",GradientBoosting,0.992995823398406,1836.2293182447174
"('employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio')",CatBoost,0.9929871767128362,1944.8732828501916
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9929572618104824,1893.4685220941801
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'company_location')",GradientBoosting,0.9929309772805847,1935.9272915036695
"('experience_level', 'salary', 'salary_currency', 'employee_residence')",GradientBoosting,0.9929277239651255,2044.9262184838217
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio', 'company_location', 'company_size')",GradientBoosting,0.9929264077163651,1893.1608810116654
